id,title,text,label
1,Scientists Discover Water on Mars,NASA scientists have confirmed the presence of liquid water beneath the surface of Mars using radar data from the Mars Express spacecraft. The findings published in Science journal suggest a 20-kilometer wide lake exists under the south polar ice cap.,REAL
2,Government Puts Microchips in COVID Vaccines,Secret government documents leaked online reveal that microchips the size of a grain of rice have been secretly inserted into COVID-19 vaccines to track citizens. Millions of people are now being monitored 24/7 by satellite.,FAKE
3,New Study Links Exercise to Longer Life,A comprehensive study involving over 100000 participants found that regular physical activity of at least 150 minutes per week reduces the risk of premature death by 35%. The research was published in the Lancet medical journal.,REAL
4,Drinking Bleach Cures Cancer Says Doctor,A controversial doctor claims that drinking diluted bleach can cure all forms of cancer within two weeks. Thousands of patients have reportedly been cured using this secret method suppressed by Big Pharma.,FAKE
5,Electric Vehicles Outsell Gas Cars in Norway,Norway has become the first country where electric vehicle sales surpassed traditional gasoline-powered cars accounting for over 54% of all new car registrations according to the Norwegian Road Federation.,REAL
6,5G Towers Are Spreading Coronavirus,Multiple independent researchers have confirmed that 5G mobile networks emit radiation that weakens the human immune system making people susceptible to coronavirus. Several countries are reportedly planning to ban 5G towers.,FAKE
7,Amazon Rainforest Deforestation Hits Record High,Brazil's National Institute for Space Research reported that deforestation in the Amazon rainforest reached a 12-year high with 11088 square kilometers cleared between August 2019 and July 2020.,REAL
8,Bill Gates Planning to Block Out the Sun,Leaked emails from the Bill and Melinda Gates Foundation reveal plans to inject sulfur dioxide into the atmosphere to block sunlight and reduce the global population by causing widespread crop failures and starvation.,FAKE
9,WHO Declares End to COVID-19 Emergency,The World Health Organization has officially declared an end to COVID-19 as a public health emergency of international concern after more than three years following the initial outbreak in Wuhan China.,REAL
10,Eating Chocolate Reverses Aging Scientists Say,A team of Harvard scientists has discovered that eating dark chocolate every day for 30 days can reverse the aging process by up to 20 years. The discovery is being suppressed by the pharmaceutical industry.,FAKE
11,Arctic Sea Ice Reaches New Record Low,Arctic sea ice extent in September reached the second lowest level ever recorded according to data from the National Snow and Ice Data Center continuing a long-term declining trend linked to climate change.,REAL
12,Moon Landing Was Faked in Hollywood Studio,Newly discovered documents from Stanley Kubrick's estate confirm that he was hired by NASA to film the fake moon landing in a secret Hollywood studio. The astronauts never actually left Earth's atmosphere.,FAKE
13,SpaceX Successfully Lands Rocket Back on Earth,SpaceX achieved another milestone in reusable rocket technology as the Falcon 9 booster successfully returned to the drone ship in the Atlantic Ocean after launching a batch of Starlink satellites into orbit.,REAL
14,Fluoride in Water Lowers IQ of Children,A classified government study suppressed for 30 years has finally been leaked proving that fluoride added to public drinking water significantly lowers IQ in children by an average of 15 points over time.,FAKE
15,Japan's Economy Shrinks for Second Quarter,Japan's economy contracted by 1.3% in the second quarter marking a technical recession as weak consumer spending and declining exports weighed on growth according to the Cabinet Office.,REAL
16,Aliens Built the Egyptian Pyramids,Declassified CIA documents released under Freedom of Information Act confirm what archaeologists have long suspected: the Egyptian pyramids were constructed by extraterrestrial beings using advanced anti-gravity technology approximately 10000 years ago.,FAKE
17,Renewable Energy Now Cheaper Than Fossil Fuels,The International Renewable Energy Agency reports that solar and wind power are now the cheapest sources of electricity in history with costs falling over 85% in the past decade making them cheaper than coal and gas.,REAL
18,Secret Society Controls All World Governments,An anonymous whistleblower from inside the Vatican has revealed that a secret society known as the Illuminati controls all major world governments through blackmail bribery and mind control technology developed in the 1950s.,FAKE
19,Scientists Create First Working Brain Organoid,Researchers at Johns Hopkins University have developed miniature brain organoids that exhibit coordinated neural activity opening new possibilities for studying neurological diseases and potentially testing new drugs.,REAL
20,Coffee Causes Cancer According to New Research,A breakthrough study from Stanford University has concluded that drinking more than two cups of coffee per day causes aggressive brain cancer in 90% of people within 10 years. The coffee industry is hiding this information.,FAKE
21,Global Average Temperature Hits New Record,The European Union's Copernicus Climate Change Service confirmed that 2023 was the warmest year on record with the global average temperature exceeding pre-industrial levels by 1.48 degrees Celsius.,REAL
22,Princess Diana Faked Her Death Lives in Canada,New photographs taken by a private investigator clearly show Princess Diana alive and living under a false identity in Vancouver Canada. The Royal Family staged her death to prevent her from revealing sensitive information.,FAKE
23,Oxford Develops Malaria Vaccine With 75% Efficacy,The University of Oxford has developed a malaria vaccine showing 75% efficacy in clinical trials meeting the World Health Organization's target for malaria vaccines representing a major breakthrough in fighting the disease.,REAL
24,George Soros Funding Antifa to Start Civil War,Leaked bank records obtained exclusively by this outlet prove that billionaire George Soros has transferred over 500 million dollars to Antifa leadership to orchestrate a communist revolution in the United States.,FAKE
25,Tesla Unveils New Battery With 500 Mile Range,Tesla announced its new 4680 battery cell technology that increases energy density enabling its electric vehicles to achieve a range of up to 500 miles on a single charge according to CEO Elon Musk.,REAL
26,CIA Developed COVID-19 as Bioweapon in 2015,Declassified Pentagon documents prove that the CIA developed COVID-19 in collaboration with Chinese military scientists at Fort Detrick Maryland in 2015 and deliberately released it in Wuhan to start a global pandemic.,FAKE
27,India Launches First Solar Space Mission,India's space agency ISRO successfully launched Aditya-L1 its first solar observation mission designed to study the sun's outer atmosphere and understand solar wind dynamics from the Lagrange point 1.5 million km from Earth.,REAL
28,Eating Tide Pods Boosts Immune System Doctors Confirm,Several prominent immunologists have confirmed that the chemicals in laundry detergent pods actually strengthen the human immune system when ingested in small quantities. Parents are encouraged to let their children try this treatment.,FAKE
